,Design Option,Category,Family,Type,Family and Type,Type Id,Type Name,Family Name,Base Level,Base Offset,Column Style,Level,Moves With Grids,Room Bounding,Top Level,Top Offset,Length,Volume,Host Id,Structural Material,Phase Created,Phase Demolished,Enable Analytical Model,Rebar Cover - Other Faces,b,h,OmniClass Number,OmniClass Title,Section Shape,Rebar Cover - Bottom Face,Rebar Cover - Top Face,Work Plane,Area,Calculate Coefficient of Utilization,Mark,count,D,Light Source Symbol Size,W,LI,Glass,At a distance,Ballast Loss,Color Filter,Dimming Lamp Color Temperature Shift,Efficacy,Illuminance,Initial Color,Initial Color Temperature,Initial Intensity,Initial Light Intensity Input Method,Lamp Lumen Depreciation,Lamp Tilt Loss,Light Loss Factor,Light Loss Input Method,Luminaire Dirt Depreciation,Luminous Flux,Luminous Intensity,Surface Depreciation Loss,Temperature Color,Temperature Loss,Total Light Loss Factor,Voltage Loss,Wattage,d,w,Elevation from Level,Host,Schedule Level,H,Default Elevation,offset,base,Moves With Nearby Elements,Offset from Path,Angled Joins,Baluster Offset,Landing Height Adjustment,Rail Connections,Railing Height,Tangent Joins,Use Landing Height Adjustment,Height,Lateral Offset,Position,Baluster Family,Baluster Length,Baluster Separation,Baluster Shape,Baluster Spacing Type (Stair Railing Only),Baluster Width,Balusters Per Tread (Stair Railing Only),Rail Shape,Railing Thickness,Railing Width,Desired Stair Height,Actual Number of Risers,Actual Riser Height,Actual Tread Depth,Desired Number of Risers,Tread/Riser Start Number,Rebar Cover,Maximum Riser Height,Minimum Run Width,Minimum Tread Depth,Construction Method,Function,Landing Type,Run Type,Cut Mark Type,Left Lateral Offset,Left Support,Left Support Type,Middle Support,Middle Support Number,Middle Support Type,Right Lateral Offset,Right Support,Right Support Type,pergola,top,Height Offset From Level,Related to Mass,Core Thickness,Elevation at Bottom,Elevation at Bottom Core,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Core,Elevation at Top Survey,Perimeter,Thickness,Span Direction,Structural,Absorptance,Heat Transfer Coefficient (U),Roughness,Thermal Mass,Thermal Resistance (R),Default Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Display in Hidden Views,Sill Height,Angle data,2D Swing Angle,3D Angle (0°=closed),Head Height,Analytic Construction,Wall Closure,Hdata,Wdata,data,w2,Door distance from edge,Width,Type Mark,Edge,Frame Projection,Frame Width 1,Frame Width 2,gap,Base,Handle,L,L2,r,r2,wdata,Parapet Corner L,Width Left,Width Right,frame,frame 90°,glass,parapet,Parapet Corner,Parapet Straight,Exterior Offset,Parapet Height,Parapet Offset,Thickness of frame,Width of frame,Default Sill Height,1 Frame,1 Frame Corner Left,1 Frame Corner Left Double Glass,1 Frame Double Glass,1 Frame Glass,2 Frame,2 Frame Glass Left,2 Frame Glass Right,2 Frame Left,2 Frame Right,Base Constraint,Base Extension Distance,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top is Attached,Unconnected Height,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Structural Usage,Wrapping at Ends,Wrapping at Inserts
1264478,None,OST_StructuralColumns,300 x 450mm,300 x 450mm,300 x 450mm,300 x 450mm,300 x 450mm,Concrete-Rectangular-Column,Level 1,0,0,Level 1,Yes,Yes,Level 2,0,2800,0.11 m³,None,340996,Phase 1,None,Yes,Rebar Cover 1,200,200,23.25.30.11.14.11,Columns,0,Rebar Cover 1,Rebar Cover 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254334,None,OST_LightingFixtures,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,,,,None,,,,,3100,0.00 m³,None,,Phase 1,None,,,,,,,,,,Roofs 1 : Roofs 1,0 m²,No,37,124,25,600,50,Family2,1053076,3048,1.000000,16777215,0,149 lm/W,47 lx,0,3200 K,0,0,1.000000,1.000000,0,0,1.000000,1380 lm,439 cd,1.000000,3,1.000000,1.000000,1.000000,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254335,None,OST_LightingFixtures,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,,,,None,,,,,3100,0.00 m³,None,,Phase 1,None,,,,,,,,,,Roofs 1 : Roofs 1,0 m²,No,38,124,25,600,50,Family2,1053076,3048,1.000000,16777215,0,149 lm/W,47 lx,0,3200 K,0,0,1.000000,1.000000,0,0,1.000000,1380 lm,439 cd,1.000000,3,1.000000,1.000000,1.000000,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254336,None,OST_LightingFixtures,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,,,,None,,,,,3100,0.00 m³,None,,Phase 1,None,,,,,,,,,,Roofs 1 : Roofs 1,0 m²,No,39,124,25,600,50,Family2,1053076,3048,1.000000,16777215,0,149 lm/W,47 lx,0,3200 K,0,0,1.000000,1.000000,0,0,1.000000,1380 lm,439 cd,1.000000,3,1.000000,1.000000,1.000000,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254337,None,OST_LightingFixtures,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,,,,None,,,,,3100,0.00 m³,None,,Phase 1,None,,,,,,,,,,Roofs 1 : Roofs 1,0 m²,No,40,124,25,600,50,Family2,1053076,3048,1.000000,16777215,0,149 lm/W,47 lx,0,3200 K,0,0,1.000000,1.000000,0,0,1.000000,1380 lm,439 cd,1.000000,3,1.000000,1.000000,1.000000,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254338,None,OST_LightingFixtures,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,,,,None,,,,,3100,0.00 m³,None,,Phase 1,None,,,,,,,,,,Roofs 1 : Roofs 1,0 m²,No,41,124,25,600,50,Family2,1053076,3048,1.000000,16777215,0,149 lm/W,47 lx,0,3200 K,0,0,1.000000,1.000000,0,0,1.000000,1380 lm,439 cd,1.000000,3,1.000000,1.000000,1.000000,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254339,None,OST_LightingFixtures,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,,,,None,,,,,2182,0.00 m³,None,,Phase 1,None,,,,,,,,,,Roofs 1 : Roofs 1,0 m²,No,42,87,25,600,50,Family2,1053076,3048,1.000000,16777215,0,149 lm/W,47 lx,0,3200 K,0,0,1.000000,1.000000,0,0,1.000000,1380 lm,439 cd,1.000000,3,1.000000,1.000000,1.000000,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258222,None,OST_LightingFixtures,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,Basic Wall : 300 4,0 m²,No,45,104,25,600,50,Family2,1053076,3048,1.000000,16777215,0,149 lm/W,47 lx,0,3200 K,0,0,1.000000,1.000000,0,0,1.000000,1380 lm,439 cd,1.000000,3,1.000000,1.000000,1.000000,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259123,None,OST_LightingFixtures,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,,,,None,,,,,5880,0.01 m³,None,,Phase 1,None,,,,,,,,,,Roofs 1 : Roofs 1,0 m²,No,46,235,25,600,50,Family2,1053076,3048,1.000000,16777215,0,149 lm/W,47 lx,0,3200 K,0,0,1.000000,1.000000,0,0,1.000000,1380 lm,439 cd,1.000000,3,1.000000,1.000000,1.000000,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269186,None,OST_LightingFixtures,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,linearne svetidlo line based - premium,,,,None,,,,,3480,0.00 m³,None,,Phase 1,None,,,,,,,,,,Generic Models 1 : Generic Models 1,0 m²,No,47,139,25,600,50,Family2,1053076,3048,1.000000,16777215,0,149 lm/W,47 lx,0,3200 K,0,0,1.000000,1.000000,0,0,1.000000,1380 lm,439 cd,1.000000,3,1.000000,1.000000,1.000000,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254442,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254513,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254539,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254614,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254653,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254662,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254669,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254676,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254683,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255261,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255316,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255323,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255330,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255991,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256038,None,OST_GenericModel,Line Void,Line Void,Line Void,Line Void,Line Void,Line Void,,,,None,,,,,2600,0.00 m³,None,,Phase 1,None,,,,,,,,,,,0 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
